location,source,target,id,fuzzy,context,translator_comments,developer_comments
,StarCraft: Remastered,StarCraft: Remastered,,False,,,
,StarCraft,StarCraft,,False,,,
,Blizzard,Blizzard,,False,,,
,"Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.",,False,,,
,ShieldBattery,ShieldBattery,,False,,,
,Leagues,Ligas,,False,,,
,Lobbies,Lobbies,,False,,,
,Lobby,Lobby,,False,,,
,Turn rate,Ritmo de turno,,False,,,
,1v1,1x1,,False,,,
,2v2,2x2,,False,,,
,Game type,Tipo de juego,,False,,,
,Map,Mapa,,False,,,
,Tileset,Tileset,,False,,,
,Race,Raza,,False,,,
,Match,Partido,,False,,,
,Replays,Replays,,False,,,
,Gameplay,Gameplay,,False,,,
,1v1 Fastest,1x1 Fastest,,False,,,
,Matchmaking,Emparejamiento,,False,,,
,Points,Puntos,,False,,,
,Rating,Clasificación,,False,,,
,3v3,3x3,,False,,,
,Whisper,Susurro,,False,,,
,Notification,Notificación,,False,,,
,Notifications,Notificaciones,,False,,,
,StarCraft,StarCraft,,False,For instructional text,,
,Achievement,Logro,,False,,,
,Achievements,Logros,,False,,,
,Rank,Rango,,False,,,
,Seasons,Temporadas,,False,,,
,Season,Temporada,,False,,,
,Ranked,Clasificado,,False,,,
,Maps,Mapas,,False,,,
,APM,APM,,False,,,
,per rocket,por cohete,,False,,,
,1st Lieutenant,Teniente primero,,False,,,
,Must target injured non-mechanical ground units,El objetivo debe ser una unidad terrestre dañada no mecánica,,False,,,
,Must target enemy units,El objetivo debe ser una unidad enemiga,,False,,,
,Must target non-mechanical units.,El objetivo debe ser una unidad no mecánica,,False,,,
,Must target units with energy.,El objetivo debe tener energía,,False,,,
,Medic,Médica,,False,,,
,Medic Heal,Médica - Curar,,False,,,
,Cast Disruption Web,Lanzar Red disruptiva,,False,,,
,Cast Mind Control,Lanzar Control mental,,False,,,
,Warping Dark Archon,Fusionando Arconte oscuro,,False,,,
,EPM,EPM,,False,,,
,Cast Feedback,Lanzar Retroalimentación,,False,,,
,Cast Optical Flare,Lanzar Bengala óptica,,False,,,
,Cast Shockwave,Lanzar Ola de choque,,False,,,
,Heal Move,Curar - Mover,,False,,,
,Medic Hold Position,Médica - Mantener posición,,False,,,
,Junk Yard Dog,Perro de basural,,False,,,
,View Players,Ver jugadores,,False,,,
,Speed Up,Aumentar velocidad,,False,,,
,Play,Reproducir,,False,,,
,Pause,Pausar,,False,,,
,Slow Down,Reducir velocidad,,False,,,
,Replay Progress,Progreso de repetición,,False,,,
,Paused,En pausa,,False,,,
,Unlimited,Sin límite,,False,,,
,Seeking To: %s,Objetivo: %s,,False,,,
,Player,Jugador,,False,,,
,Terran Marine,Marine terran,,False,,,
,Terran Ghost,Fantasma terran,,False,,,
,Terran Vulture,Buitre terran,,False,,,
,Terran Goliath,Goliat terran,,False,,,
,Goliath Turret,Torreta goliat,,False,,,
,Terran Siege Tank,Tanque de asedio terran,,False,,,
,Tank Turret,Torreta de tanque,,False,,,
,Terran SCV,VCE terran,,False,,,
,Terran Wraith,Ánima terran,,False,,,
,Terran Science Vessel,Navío científico terran,,False,,,
,Gui Montag,Gui Montag,,False,,,
,Terran Dropship,Nave de transporte terran,,False,,,
,Terran Battlecruiser,Crucero de batalla terran,,False,,,
,Vulture Spider Mine,Mina araña Buitre,,False,,,
,Nuclear Missile,Misil nuclear,,False,,,
,Terran Civilian,Civil terran,,False,,,
,Sarah Kerrigan,Sarah Kerrigan,,False,,,
,Alan Schezar,Alan Schezar,,False,,,
,Alan Turret,Torreta Alan,,False,,,
,Jim Raynor,Jim Raynor,,False,,,
,Tom Kazansky,Tom Kazansky,,False,,,
,Magellan,Magellan,,False,,,
,Edmund Duke,Edmund Duke,,False,,,
,Duke Turret,Torreta Duke,,False,,,
,Arcturus Mengsk,Arcturus Mengsk,,False,,,
,Hyperion,Hiperión,,False,,,
,Norad II,Norad II,,False,,,
,Terran Firebat,Murciélago de fuego terran,,False,,,
,Scanner Sweep,Escaneo,,False,,,
,Terran Medic,Médica terran,,False,,,
,Zerg Larva,Larva zerg,,False,,,
,Zerg Egg,Huevo zerg,,False,,,
,Zerg Zergling,Zerguezno zerg,,False,,,
,Zerg Hydralisk,Hidralisco zerg,,False,,,
,Zerg Ultralisk,Ultralisco zerg,,False,,,
,Zerg Broodling,Ácaro zerg,,False,,,
,Zerg Drone,Obrero zerg,,False,,,
,Zerg Overlord,Amo supremo zerg,,False,,,
,Zerg Mutalisk,Mutalisco zerg,,False,,,
,Zerg Guardian,Guardián zerg,,False,,,
,Zerg Queen,Reina zerg,,False,,,
,Zerg Defiler,Profanador zerg,,False,,,
,Zerg Scourge,Azote zerg,,False,,,
,Torrasque,Torrasque,,False,,,
,Matriarch,Matriarca,,False,,,
,Infested Terran,Terran infestado,,False,,,
,Infested Kerrigan,Kerrigan infestada,,False,,,
,Unclean One,Impuro,,False,,,
,Hunter Killer,Cazador asesino,,False,,,
,Devouring One,Insaciable,,False,,,
,Kukulza,Kukulza,,False,,,
,Yggdrasill,Yggdrasill,,False,,,
,Terran Valkyrie,Valkiria terran,,False,,,
,Cocoon,Capullo,,False,,,
,Protoss Corsair,Corsario protoss,,False,,,
,Protoss Dark Templar,Templario oscuro protoss,,False,,,
,Zerg Devourer,Devorador zerg,,False,,,
,Protoss Dark Archon,Arconte oscuro protoss,,False,,,
,Protoss Probe,Sonda protoss,,False,,,
,Protoss Zealot,Zelot protoss,,False,,,
,Protoss Dragoon,Dragún protoss,,False,,,
,Protoss High Templar,Alto templario protoss,,False,,,
,Protoss Archon,Arconte protoss,,False,,,
,Protoss Shuttle,Transbordador protoss,,False,,,
,Protoss Scout,Explorador protoss,,False,,,
,Protoss Arbiter,Árbitro protoss,,False,,,
,Protoss Carrier,Portanaves protoss,,False,,,
,Protoss Interceptor,Interceptor protoss,,False,,,
,Dark Templar,Templario oscuro,,False,,,
,Zeratul,Zeratul,,False,,,
,Tassadar/Zeratul,Tassadar/Zeratul,,False,,,
,Fenix,Fénix,,False,,,
,Tassadar,Tassadar,,False,,,
,Mojo,Mojo,,False,,,
,Warbringer,Marcial,,False,,,
,Gantrithor,Gantrithor,,False,,,
,Protoss Reaver,Hostigador protoss,,False,,,
,Protoss Observer,Observador protoss,,False,,,
,Protoss Scarab,Escarabajo protoss,,False,,,
,Danimoth,Danimoth,,False,,,
,Aldaris,Aldaris,,False,,,
,Artanis,Artanis,,False,,,
,Rhynadon,Rhynadonte,,False,,,
,Bengalaas,Bengalaas,,False,,,
,Unused,En desuso,,False,,,
,Scantid,Escántido,,False,,,
,Kakaru,Kakaru,,False,,,
,Ragnasaur,Ragnasaurio,,False,,,
,Ursadon,Ursadón,,False,,,
,Zerg Lurker Egg,Huevo de acechador zerg,,False,,,
,Raszagal,Raszagal,,False,,,
,Samir Duran,Samir Duran,,False,,,
,Alexei Stukov,Alexei Stukov,,False,,,
,Map Revealer,Revelador de mapa,,False,,,
,Gerard DuGalle,Gerard DuGalle,,False,,,
,Zerg Lurker,Acechador zerg,,False,,,
,Infested Duran,Duran infestado,,False,,,
,Disruption Field,Campo disruptivo,,False,,,
,Terran Command Center,Centro de mando terran,,False,,,
,Terran Comsat Station,Estación satelital terran,,False,,,
,Terran Nuclear Silo,Silo nuclear terran,,False,,,
,Terran Supply Depot,Depósito de suministros terran,,False,,,
,Terran Refinery,Refinería terran,,False,,,
,Terran Barracks,Cuartel terran,,False,,,
,Terran Academy,Academia terran,,False,,,
,Terran Factory,Fábrica terran,,False,,,
,Terran Starport,Puerto estelar terran,,False,,,
,Terran Control Tower,Torre de control terran,,False,,,
,Terran Science Facility,Complejo científico terran,,False,,,
,Terran Covert Ops,Operaciones encubiertas terran,,False,,,
,Terran Physics Lab,Laboratorio de física terran,,False,,,
,Unused Terran Bldg,Edificación terran en desuso,,False,,,
,Terran Machine Shop,Taller de maquinaria terran,,False,,,
,Terran Engineering Bay,Centro de ingeniería terran,,False,,,
,Terran Armory,Armería terran,,False,,,
,Terran Missile Turret,Torreta de misiles terran,,False,,,
,Terran Bunker,Búnker terran,,False,,,
,Ion Cannon,Cañón de iones,,False,,,
,Uraj Crystal,Cristal Uraj,,False,,,
,Khalis Crystal,Cristal Khalis,,False,,,
,Infested Command Center,Centro de mando infestado,,False,,,
,Zerg Hatchery,Larvario zerg,,False,,,
,Zerg Lair,Guarida zerg,,False,,,
,Zerg Hive,Colmena zerg,,False,,,
,Zerg Nydus Canal,Canal Nydus zerg,,False,,,
,Zerg Hydralisk Den,Cubil de Hidraliscos zerg,,False,,,
,Zerg Defiler Mound,Túmulo de Profanadores zerg,,False,,,
,Zerg Greater Spire,Espira mayor zerg,,False,,,
,Zerg Queen's Nest,Nido de la reina zerg,,False,,,
,Zerg Evolution Chamber,Cámara de evolución zerg,,False,,,
,Zerg Ultralisk Cavern,Caverna de Ultraliscos zerg,,False,,,
,Zerg Spire,Espira zerg,,False,,,
,Zerg Spawning Pool,Estanque de engendración zerg,,False,,,
,Zerg Creep Colony,Colonia de talo zerg,,False,,,
,Zerg Spore Colony,Colonia de esporas zerg,,False,,,
,Unused Zerg Bldg,Edificación zerg en desuso,,False,,,
,Zerg Sunken Colony,Colonia sumergida zerg,,False,,,
,Zerg Overmind,Mente suprema zerg,,False,,,
,Zerg Extractor,Extractor zerg,,False,,,
,Mature Chrysalis,Crisálida madura,,False,,,
,Zerg Cerebrate,Cerebrado zerg,,False,,,
,Zerg Cerebrate Daggoth,Cerebrado Daggoth zerg,,False,,,
,Unused Zerg Bldg 5,Edificación zerg en desuso 5,,False,,,
,Protoss Nexus,Nexo protoss,,False,,,
,Protoss Robotics Facility,Complejo de robótica protoss,,False,,,
,Protoss Pylon,Pilón protoss,,False,,,
,Protoss Assimilator,Asimilador protoss,,False,,,
,Protoss Unused,En desuso protoss,,False,,,
,Protoss Observatory,Observatorio protoss,,False,,,
,Protoss Gateway,Portal protoss,,False,,,
,Protoss Photon Cannon,Cañón de fotones protoss,,False,,,
,Protoss Citadel of Adun,Ciudadela de Adún protoss,,False,,,
,Protoss Cybernetics Core,Núcleo cibernético protoss,,False,,,
,Protoss Templar Archives,Archivos templarios protoss,,False,,,
,Protoss Forge,Forja protoss,,False,,,
,Protoss Stargate,Portal estelar protoss,,False,,,
,Stasis Cell/Prison,Celda de estasis/Prisión,,False,,,
,Protoss Fleet Beacon,Faro de la flota protoss,,False,,,
,Protoss Arbiter Tribunal,Tribunal de Árbitros protoss,,False,,,
,Protoss Robotics Support Bay,Plat. de apoyo robótico protoss,,False,,,
,Protoss Shield Battery,Batería de escudos protoss,,False,,,
,Khaydarin Crystal Formation,Formación de cristales khaydarín,,False,,,
,Protoss Temple,Templo protoss,,False,,,
,Xel'Naga Temple,Templo Xel'Naga,,False,,,
,Mineral Field,Campo de minerales,,False,,,
,Cave,Cueva,,False,,,
,Cave-in,Colapso,,False,,,
,Cantina,Cantina,,False,,,
,Mining Platform,Plataforma de minería,,False,,,
,Independent Command Center,Centro de mando independiente,,False,,,
,Independent Starport,Puerto estelar independiente,,False,,,
,Jump Gate,Portal de salto,,False,,,
,Ruins,Ruinas,,False,,,
,Kyadarin Crystal Formation,Formación de cristales khaydarín,,False,,,
,Vespene Geyser,Géiser de gas vespeno,,False,,,
,Warp Gate,Portal de transposición,,False,,,
,Psi Disrupter,Disruptor psiónico,,False,,,
,Zerg Marker,Marcador zerg,,False,,,
,Terran Marker,Marcador terran,,False,,,
,Protoss Marker,Marcador protoss,,False,,,
,Zerg Beacon,Faro zerg,,False,,,
,Terran Beacon,Faro terran,,False,,,
,Protoss Beacon,Faro protoss,,False,,,
,Zerg Flag Beacon,Faro de bandera zerg,,False,,,
,Terran Flag Beacon,Faro de bandera terran,,False,,,
,Protoss Flag Beacon,Faro de bandera protoss,,False,,,
,Power Generator,Generador de energía,,False,,,
,Overmind Cocoon,Capullo de la Mente suprema,,False,,,
,Dark Swarm,Enjambre oscuro,,False,,,
,Floor Missile Trap,Trampa de misiles de piso,,False,,,
,Floor Hatch (UNUSED),Escotilla (EN DESUSO),,False,,,
,Left Upper Level Door,Puerta del nivel superior izquierdo,,False,,,
,Right Upper Level Door,Puerta del nivel superior derecho,,False,,,
,Left Pit Door,Puerta de la fosa izquierda,,False,,,
,Right Pit Door,Puerta de la fosa derecha,,False,,,
,Floor Gun Trap,Trampa de armas de piso,,False,,,
,Left Wall Missile Trap,Trampa de misiles de la pared izquierda,,False,,,
,Left Wall Flame Trap,Trampa de fuego de la pared izquierda,,False,,,
,Right Wall Missile Trap,Trampa de misiles de la pared derecha,,False,,,
,Right Wall Flame Trap,Trampa de fuego de la pared derecha,,False,,,
,Start Location,Ubicación inicial,,False,,,
,Flag,Bandera,,False,,,
,Young Chrysalis,Crisálida joven,,False,,,
,Psi Emitter,Emisor psiónico,,False,,,
,Data Disc,Disco de datos,,False,,,
,Khaydarin Crystal,Cristal khaydarín,,False,,,
,Mineral Chunk,Trozo de minerales,,False,,,
,Vespene Orb,Orbe de gas vespeno,,False,,,
,Vespene Sac,Saco gas vespeno,,False,,,
,Vespene Tank,Tanque de vespeno,,False,,,
,Gauss Rifle,Rifle Gauss,,False,,,
,C-10 Canister Rifle,Rifle de alto calibre C-10,,False,,,
,Fragmentation Grenade,Granada de fragmentación,,False,,,
,Twin Autocannons,Autocañones gemelos,,False,,,
,Hellfire Missile Pack,Conjunto de misiles Inferno,,False,,,
,Arclite Cannon,Cañón Arclite,,False,,,
,Fusion Cutter,Cortador de fusión,,False,,,
,Gemini Missiles,Misiles géminis,,False,,,
,Burst Lasers,Ráfaga láser,,False,,,
,ATS Laser Battery,Batería láser A-S,,False,,,
,ATA Laser Battery,Batería láser A-A,,False,,,
,Flame Thrower,Lanzallamas,,False,,,
,Arclite Shock Cannon,Cañón de impacto Arclite,,False,,,
,Longbolt Missile,Misil trueno,,False,,,
,Nuclear Strike,Ataque nuclear,,False,,,
,EMP Shockwave,Onda de choque PEM,,False,,,
,Claws,Garras,,False,,,
,Needle Spines,Espinas punzantes,,False,,,
,Kaiser Blades,Cuchillas káiser,,False,,,
,Larva,Larva,,False,,,
,Toxic Spores,Esporas tóxicas,,False,,,
,Spines,Espinas,,False,,,
,Acid Spray,Rociador de ácido,,False,,,
,Acid Spore,Espora ácida,,False,,,
,Glave Wurm,Gusano Gladia,,False,,,
,Venom,Veneno,,False,,,
,Suicide,Suicidio,,False,,,
,Seeker Spores,Esporas buscadoras,,False,,,
,Subterranean Tentacle,Tentáculo subterráneo,,False,,,
,Particle Beam,Rayo de partículas,,False,,,
,Psi Blades,Cuchillas psiónicas,,False,,,
,Warp Blades,Cuchillas de distorsión,,False,,,
,Phase Disruptor,Disruptor de fase,,False,,,
,Psi Assault,Asalto psiónico,,False,,,
,Psionic Shockwave,Oleada psiónica,,False,,,
,Dual Photon Blasters,Ráfaga de fotones doble,,False,,,
,Anti-matter Missiles,Misiles antimateria,,False,,,
,Phase Disruptor Cannon,Cañón disruptor de fase,,False,,,
,Pulse Cannon,Cañón de pulso,,False,,,
,STS Photon Cannon,Cañón de fotones T-T,,False,,,
,STA Photon Cannon,Cañón de fotones T-A,,False,,,
,Scarab,Escarabajo,,False,,,
,Missiles,Misiles,,False,,,
,Laser Battery,Batería láser,,False,,,
,Tormentor Missiles,Misil atormentador,,False,,,
,Bombs,Bombas,,False,,,
,Raider Gun,Pistola rebelde,,False,,,
,Flechette Grenade,Granada perforante,,False,,,
,Undefined Weapon Name,Nombre de arma sin definir,,False,,,
,Stim Packs,Estimpacks,,False,,,
,Lockdown,Bloqueo,,False,,,
,Spider Mines,Minas araña,,False,,,
,Tank Siege Mode,Tanque de modo asedio,,False,,,
,Defensive Matrix,Matriz defensiva,,False,,,
,Cloaking Field,Campo de camuflaje,,False,,,
,Personnel Cloaking,Camuflaje personal,,False,,,
,Research Stim Pack Tech\n(Marine and Firebat ability),Investigar Tecnología de estimpack\n(habilidad de Marine y Murciélago de fuego),,False,,,
,Research Lockdown\n(Ghost ability),Investigar Bloqueo\n(habilidad de Fantasma),,False,,,
,Research EMP Shockwave\n(Science Vessel ability),Investigar Onda de choque PEM\n(habilidad de Navío científico),,False,,,
,Research Spider Mines\n(Vulture ability),Investigar Minas araña\n(habilidad de Buitre),,False,,,
,Research Siege Tech\n(Siege Tank ability),Investigar Tecnología de asedio\n(habilidad de Tanque de asedio),,False,,,
,Research Defensive Matrix\n(Science Vessel ability),Investigar Matriz defensiva\n(habilidad de Navío científico),,False,,,
,Research Irradiate\n(Science Vessel ability),Investigar Irradiación\n(habilidad de Navío científico),,False,,,
,Research Yamato Gun\n(Battlecruiser ability),Investigar Cañón Yamato\n(habilidad de Crucero de batalla),,False,,,
,Research Cloaking Field\n(Wraith ability),Investigar Campo de camuflaje\n(habilidad de Ánima),,False,,,
,Research Personnel Cloaking\n(Ghost ability),Investigar Camuflaje personal\n(habilidad de Fantasma),,False,,,
,Use Stim Packs,Usar Estimpacks,,False,,,
,Use Spider Mines,Usar Minas araña,,False,,,
,Scanner Sweep (Detector),Escaneo (Detector),,False,,,
,Siege Mode,Modo Asedio,,False,,,
,Tank Mode,Modo Tanque,,False,,,
,Activate Defensive Matrix,Activar Matriz defensiva,,False,,,
,Irradiate,Irradiar,,False,,,
,Yamato Gun,Cañon Yamato,,False,,,
,Activate EMP Shockwave,Activar Onda de choque PEM,,False,,,
,Cloak,Camuflar,,False,,,
,Decloak,Descamuflar,,False,,,
,Stim Packs:\n   Research at Academy,Estimpacks:\n   Investigar en la Academia,,False,,,
,Lockdown:\n   Research at Covert Ops,Bloqueo:\n   Investigar en Operaciones encubiertas,,False,,,
,Spider Mines:\n   Research at Machine Shop,Minas araña:\n   Investigar en el Taller de maquinaria,,False,,,
,Siege Mode:\n   Research at Machine Shop,Modo asedio:\n   Investigar en el Taller de maquinaria,,False,,,
,Defensive Matrix:\n   Research at Science Facility,Matriz defensiva:\n   Investigar en el Complejo científico,,False,,,
,EMP Shockwave:\n   Research at Science Facility,Onda de choque PEM:\n   Investigar en el Complejo científico,,False,,,
,Irradiate:\n   Research at Science Facility,Irradiación:\n   Investigar en el Complejo científico,,False,,,
,Yamato Gun:\n   Research at Physics Lab,Cañón Yamato:\n   Investigar en el Laboratorio de física,,False,,,
,Cloaking Field:\n   Research at Control Tower,Campo de camuflaje:\n   Investigar en la Torre de control,,False,,,
,Personnel Cloaking:\n   Research at Covert Ops,Camuflaje personal:\n   Investigar en Operaciones encubiertas,,False,,,
,Burrowing,Enterramiento,,False,,,
,Infestation,Infestación,,False,,,
,Spawn Broodling,Engendrar Ácaro,,False,,,
,Parasite,Parásito,,False,,,
,Plague,Plaga,,False,,,
,Consume,Consumir,,False,,,
,Ensnare,Atrapar,,False,,,
,Evolve Burrow\n(Ground unit ability),Evolucionar Enterrar\n(habilidad de unidad terrestre),,False,,,
,Evolve Infestation\n(Queen ability),Evolucionar Infestación\n(habilidad de Reina),,False,,,
,Evolve Spawn Broodling\n(Queen ability),Evolucionar Engendrar Ácaro\n(habilidad de Reina),,False,,,
,Evolve Dark Swarm\n(Defiler ability),Evolucionar Enjambre oscuro\n(habilidad de Profanador),,False,,,
,Evolve Parasite\n(Queen ability),Evolucionar Parásito\n(habilidad de Reina),,False,,,
,Evolve Plague\n(Defiler ability),Evolucionar Plaga\n(habilidad de Profanador),,False,,,
,Evolve Ensnare\n(Queen ability),Evolucionar Atrapar\n(habilidad de Reina),,False,,,
,Evolve Consume\n(Defiler ability),Evolucionar Consumir\n(habilidad de Profanador),,False,,,
,Burrow,Enterrar,,False,,,
,Unburrow,Desenterrar,,False,,,
,Infest Terran Command Center,Infestar Centro de mando terran,,False,,,
,Spawn Broodlings,Engendrar Ácaros,,False,,,
,Burrow:\n   Evolve at Hatchery,Enterrar:\n   Evolucionar en el Larvario,,False,,,
,Infest:\n   Evolve at Queen's Nest,Infestar:\n   Evolucionar en el Nido de la reina,,False,,,
,Spawn Broodlings:\n   Evolve at Queen's Nest,Engendrar Ácaros:\n   Evolucionar en el Nido de la reina,,False,,,
,Dark Swarm:\n   Evolve at Defiler Mound,Enjambre oscuro:\n   Evolucionar en el Túmulo de Profanadores,,False,,,
,Parasite:\n   Evolve at Queen's Nest,Parásito:\n   Evolucionar en el Nido de la reina,,False,,,
,Plague:\n   Evolve at Defiler Mound,Plaga:\n   Evolucionar en el Túmulo de Profanadores,,False,,,
,Consume:\n[5]Evolve at Defiler Mound,Consumir:\n[5]Evolucionar en el Túmulo de Profanadores,,False,,,
,Ensnare:\n   Evolve at Queen's Nest,Atrapar:\n   Evolucionar en el Nido de la reina,,False,,,
,Psionic Storm,Tormenta psiónica,,False,,,
,Hallucination,Alucinación,,False,,,
,Recall,Repliegue,,False,,,
,Stasis Field,Campo de estasis,,False,,,
,Archon Warp,Fusionar en Arconte,,False,,,
,Develop Psionic Storm\n(Templar ability),Desarrollar Tormenta psiónica\n(habilidad de Templario),,False,,,
,Develop Hallucination\n(Templar ability),Desarrollar Alucinación\n(habilidad de Templario),,False,,,
,Develop Recall\n(Arbiter ability),Desarrollar Repliegue\n(habilidad de Árbitro),,False,,,
,Develop Stasis Field\n(Arbiter ability),Desarrollar Campo de estasis\n(habilidad de Árbitro),,False,,,
,Develop Archon Warp\n(Templar ability),Desarrollar Fusionar en Arconte\n(habilidad de Templario),,False,,,
,Psionic Storm:\n   Develop at Templar Archives,Tormenta psiónica:\n   Desarrollar en Archivos templarios,,False,,,
,Hallucination:\n   Develop at Templar Archives,Alucinación:\n   Desarrollar en Archivos templarios,,False,,,
,Recall:\n   Develop at Arbiter Tribunal,Repliegue:\n   Desarrollar en el Tribunal de Árbitros,,False,,,
,Stasis Field:\n   Develop at Arbiter Tribunal,Campo de estasis:\n   Desarrollar en el Tribunal de Árbitros,,False,,,
,Archon Warp:\n   Research at Templar Archives,Fusionar en Arconte:\n   Investigar en Archivos templarios,,False,,,
,Archon Warp:\n   Select 2 or more Templars,Fusionar en Arconte:\n   Seleccionar 2 o más Templarios,,False,,,
,Terran Infantry Armor,Armadura de infantería terran,,False,,,
,Terran Vehicle Plating,Coraza de vehículo terran,,False,,,
,Terran Ship Plating,Coraza de nave terran,,False,,,
,Zerg Carapace,Caparazón zerg,,False,,,
,Zerg Flyer Carapace,Caparazón de unidad aérea zerg,,False,,,
,Protoss Armor,Armadura protoss,,False,,,
,Protoss Plating,Coraza protoss,,False,,,
,Terran Infantry Weapons,Armas de infantería terran,,False,,,
,Terran Vehicle Weapons,Armas de vehículos terran,,False,,,
,Terran Ship Weapons,Armas de naves terran,,False,,,
,Zerg Melee Attacks,Ataques de melé zerg,,False,,,
,Zerg Missile Attacks,Ataques de misil zerg,,False,,,
,Zerg Flyer Attacks,Ataques de unidades aéreas zerg,,False,,,
,Protoss Ground Weapons,Armas terrestres protoss,,False,,,
,Protoss Air Weapons,Armas aéreas protoss,,False,,,
,Protoss Plasma Shields,Escudos de plasma protoss,,False,,,
,U-238 Shells,Cartuchos U-238,,False,,,
,Ion Thrusters,Impulsores de iones,,False,,,
,Titan Reactor,Reactor titánico,,False,,,
,Ocular Implants,Implantes oculares,,False,,,
,Moebius Reactor,Reactor Moebius,,False,,,
,Apollo Reactor,Reactor Apolo,,False,,,
,Colossus Reactor,Reactor Coloso,,False,,,
,Ventral Sacs,Sacos ventrales,,False,,,
,Antennae,Antenas,,False,,,
,Pneumatized Carapace,Caparazón neumatizado,,False,,,
,Metabolic Boost,Estímulo metabólico,,False,,,
,Adrenal Glands,Glándulas adrenales,,False,,,
,Muscular Augments,Incrementos musculares,,False,,,
,Grooved Spines,Espinas acanaladas,,False,,,
,Gamete Meiosis,Meiosis de gametos,,False,,,
,Metasynaptic Node,Nodo metasináptico,,False,,,
,Singularity Charge,Carga de singularidad,,False,,,
,Leg Enhancements,Piernas propulsoras,,False,,,
,Scarab Damage,Daño de Escarabajo,,False,,,
,Reaver Capacity,Capacidad del Hostigador,,False,,,
,Gravitic Drive,Motor gravitatorio,,False,,,
,Sensor Array,Matriz sensora,,False,,,
,Gravitic Boosters,Propulsores gravitatorios,,False,,,
,Khaydarin Amulet,Amuleto khaydarín,,False,,,
,Apial Sensors,Sensores apiales,,False,,,
,Gravitic Thrusters,Propulsores de gravedad,,False,,,
,Carrier Capacity,Capacidad del Portanaves,,False,,,
,Khaydarin Core,Núcleo khaydarín,,False,,,
,Upgrade Infantry Armor,Mejorar Armadura de infantería,,False,,,
,Upgrade Vehicle Plating,Mejorar Coraza de vehículo,,False,,,
,Upgrade Ship Plating,Mejorar Coraza de nave,,False,,,
,Evolve Carapace,Evolucionar Caparazón,,False,,,
