location,source,target,id,fuzzy,context,translator_comments,developer_comments
,StarCraft: Remastered,《星际争霸：重制版》,,False,,,
,StarCraft,星际争霸,,False,,,
,Blizzard,暴雪,,False,,,
,"Blizzard Entertainment, Inc.",暴雪娱乐公司,,False,,,
,ShieldBattery,ShieldBattery,,False,,,
,Leagues,联赛,,False,,,
,Lobbies,房间,,False,,,
,Lobby,房间,,False,,,
,Turn rate,转换率,,False,,,
,1v1,1v1,,False,,,
,2v2,2v2,,False,,,
,Game type,游戏类型,,False,,,
,Map,地图,,False,,,
,Tileset,地形类型,,False,,,
,Race,种族,,False,,,
,Match,比赛,,False,,,
,Replays,录像,,False,,,
,Gameplay,游戏性选项,,False,,,
,1v1 Fastest,1v1 Fastest,,False,,,
,Matchmaking,匹配,,False,,,
,Points,积分,,False,,,
,Rating,评分,,False,,,
,3v3,3v3,,False,,,
,Whisper,私聊,,False,,,
,Notification,通知,,False,,,
,Notifications,通知,,False,,,
,StarCraft,星际争霸,,False,For instructional text,,
,Achievement,成就,,False,,,
,Achievements,成就,,False,,,
,Rank,排名,,False,,,
,Seasons,赛季,,False,,,
,Season,赛季,,False,,,
,Ranked,排位,,False,,,
,Maps,地图,,False,,,
,Zerg Greater Spire,异虫巨型尖塔,,False,,,
,Zerg Queen's Nest,异虫后虫之巢,,False,,,
,Zerg Overmind,异虫主宰,,False,,,
,Zerg Extractor,异虫萃取房,,False,,,
,Protoss Robotics Facility,星灵机械台,,False,,,
,Protoss Photon Cannon,星灵光子炮台,,False,,,
,Protoss Forge,星灵锻炉,,False,,,
,Protoss Shield Battery,星灵护盾充能器,,False,,,
,Khaydarin Crystal Formation,凯达琳水晶矿,,False,,,
,Protoss Temple,星灵神庙,,False,,,
,Xel'Naga Temple,萨尔纳加神庙,,False,,,
,Mineral Field,晶体矿脉,,False,,,
,Cave,洞穴,,False,,,
,Power Generator,能量发生器,,False,,,
,Overmind Cocoon,主宰虫茧,,False,,,
,Right Upper Level Door,右上层门,,False,,,
,Left Pit Door,左侧凹陷门,,False,,,
,Left Wall Missile Trap,左墙导弹陷阱,,False,,,
,Psi Emitter,灵能发射器,,False,,,
,Data Disc,数据磁盘,,False,,,
,Khaydarin Crystal,凯达琳水晶,,False,,,
,Mineral Chunk,晶体矿块,,False,,,
,Vespene Orb,瓦斯球,,False,,,
,Vespene Sac,瓦斯囊,,False,,,
,Vespene Tank,瓦斯罐,,False,,,
,C-10 Canister Rifle,C-10型霰弹步枪,,False,,,
,Hellfire Missile Pack,地狱火飞弹包,,False,,,
,Arclite Cannon,弧光炮,,False,,,
,ATA Laser Battery,空对空激光炮组,,False,,,
,Kaiser Blades,巨刃,,False,,,
,Acid Spray,剧毒喷吐,,False,,,
,Acid Spore,酸性孢子,,False,,,
,Suicide,自杀,,False,,,
,Seeker Spores,探索孢子,,False,,,
,Warp Blades,曲光战刃,,False,,,
,STS Photon Cannon,地对地光子炮,,False,,,
,Undefined Weapon Name,未定义武器名,,False,,,
,Irradiate,辐照,,False,,,
,Research Lockdown\n(Ghost ability),研究锁定\n(幽灵技能),,False,,,
,Research EMP Shockwave\n(Science Vessel ability),研究电磁冲击波\n(科学船技能),,False,,,
,Use Stim Packs,使用强化剂,,False,,,
,Cloak,隐形,,False,,,
,Yamato Gun:\n   Research at Physics Lab,大和炮：\n   在物理实验室研究,,False,,,
,Spawn Broodling,孵化巢虫,,False,,,
,Parasite,寄生虫,,False,,,
,Plague,瘟疫,,False,,,
,Evolve Consume\n(Defiler ability),进化吞噬\n(蝎虫技能),,False,,,
,Burrow,潜地,,False,,,
,Spawn Broodlings:\n   Evolve at Queen's Nest,孵化巢虫：\n   在后虫之巢进化,,False,,,
,Ensnare:\n   Evolve at Queen's Nest,诱捕：\n   在后虫之巢进化,,False,,,
,Psionic Storm,灵能风暴,,False,,,
,Hallucination,幻像,,False,,,
,Recall,召回,,False,,,
,Hallucination:\n   Develop at Templar Archives,幻像：\n   在圣堂武士文献馆开发,,False,,,
,Recall:\n   Develop at Arbiter Tribunal,召回：\n   在仲裁者法庭开发,,False,,,
,Archon Warp:\n   Research at Templar Archives,执政官折跃：\n   在圣堂武士文献馆研究,,False,,,
,Terran Infantry Weapons,人类步兵武器,,False,,,
,Terran Vehicle Weapons,人类战车武器,,False,,,
,Protoss Plasma Shields,星灵等离子护盾,,False,,,
,U-238 Shells,U-238炮弹,,False,,,
,Titan Reactor,泰坦反应堆,,False,,,
,Ocular Implants,目镜移植,,False,,,
,Moebius Reactor,莫比斯反应堆,,False,,,
,Grooved Spines,深槽脊刺,,False,,,
,Gamete Meiosis,配子分裂,,False,,,
,Khaydarin Amulet,心能水晶坠饰,,False,,,
,Apial Sensors,蜂氏传感器,,False,,,
,Gravitic Thrusters,重力推进器,,False,,,
,Upgrade Air Armor,升级空中单位护甲,,False,,,
,Upgrade Infantry Weapons,升级步兵武器,,False,,,
,Upgrade Vehicle Weapons,升级战车武器,,False,,,
,Upgrade Ship Weapons,升级舰船武器,,False,,,
,Research Apollo Reactor\n(+50 Wraith energy),研究阿波罗反应堆\n(+50怨灵战机能量),,False,,,
,Evolve Gamete Meiosis\n(+50 Queen energy),进化配子分裂\n(+50女王能量),,False,,,
,Evolve Metasynaptic Node\n(+50 Defiler energy),进化毒素间\n(+50蝎虫能量),,False,,,
,Upgrade Scarab Damage,升级金甲虫伤害,,False,,,
,Develop Apial Sensors\n(Increase Scout sight range),开发蜂氏传感器\n(扩大侦察机的视野范围),,False,,,
,Develop Gravitic Thrusters\n(Faster Scout movement),开发重力推进器\n(提高侦察机的移动速度),,False,,,
,Infantry Weapons L2 Require:\n   Science Facility,2级步兵武器需要：\n   科学站,,False,,,
,Vehicle Weapons L1 Require:\n   Nothing,1级战车武器需要：\n   无,,False,,,
,Vehicle Plating L3 Requires:\n   Science Facility,3级战车钢板需要：\n   科学站,,False,,,
