location,source,target,id,fuzzy,context,translator_comments,developer_comments
,StarCraft: Remastered,StarCraft: Remastered,,False,,,
,StarCraft,StarCraft,,False,,,
,Blizzard,Blizzard,,False,,,
,"Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.",,False,,,
,ShieldBattery,ShieldBattery,,False,,,
,Leagues,Лиги,,False,,,
,Lobbies,Лобби,,False,,,
,Lobby,Лобби,,False,,,
,Turn rate,Частота передачи,,False,,,
,1v1,1х1,,False,,,
,2v2,2х2,,False,,,
,Game type,Тип игры,,False,,,
,Map,Карта,,False,,,
,Tileset,Тайлсет,,False,,,
,Race,Раса,,False,,,
,Match,Матч,,False,,,
,Replays,Реплеи,,False,,,
,Gameplay,Геймплей,,False,,,
,1v1 Fastest,1v1 Fastest,,False,,,
,Matchmaking,Матчмейкинг,,False,,,
,Points,Очки,,False,,,
,Rating,Рейтинг,,False,,,
,3v3,3х3,,False,,,
,Whisper,Написать приватно,,False,,,
,Notification,Уведомление,,False,,,
,Notifications,Уведомления,,False,,,
,StarCraft,StarCraft,,False,For instructional text,,
,Achievement,Достижение,,False,,,
,Achievements,Достижения,,False,,,
,Rank,Ранг,,False,,,
,Seasons,Сезоны,,False,,,
,Season,Сезон,,False,,,
,Ranked,Соревновательный режим,,False,,,
,Maps,Карты,,False,,,
,Target out of range.,Цель вне зоны действия.,,False,,,
,Target is too close.,Цель слишком близко.,,False,,,
,Zerg Flag Beacon,Маяк флага,,False,,,
,Morph an Extractor there first.,Сперва нужно создать экстрактор.,,False,,,
,Pylon Build,Pylon Build,,False,,,
,Build Add-On,Build Add-On,,False,,,
,Train,Train,,False,,,
,Zerg Birth,Zerg Birth,,False,,,
,Return,Return,,False,,,
,Building Lift Off,Building Lift Off,,False,,,
,Reasearch Tech,Reasearch Tech,,False,,,
,Larva,Larva,,False,,,
,Initing Creep Growth,Initing Creep Growth,,False,,,
,Stopping Creep Growth,Stopping Creep Growth,,False,,,
,Left Wall Missile Trap,Ракетная ловушка,,False,,,
,Reset Collision,Reset Collision,,False,,,
,Flag,Флаг,,False,,,
,Hide and Suicide,Hide and Suicide,,False,,,
,Feedback,Противодействие,,False,,,
,Must target Terran units.,Целью могут быть только терраны.,,False,,,
,You can't build next to minerals or geysers.,Нельзя строить рядом с месторождениями минералов и гейзерами.,,False,,,
,An undetected unit is in the way.,На пути есть скрытая боевая единица,,False,,,
,You can't build off the map.,Нельзя строить за пределами карты.,,False,,,
,You can't build near the edge of the map.,Нельзя строить рядом с краем карты.,,False,,,
,You can't build there.,Здесь нельзя строить.,,False,,,
,You must explore there first.,Сперва необходимо разведать область.,,False,,,
,You must currently be able to see the location.,Необходим обзор выбранной области.,,False,,,
,"Could not build there, find a Vespene Geyser to build on.",Неподходящее место для постройки. Требуется веспеновый гейзер.,,False,,,
,You must build on the Creep.,Создавать строения можно только на слизи.,,False,,,
,You must build near a Pylon.,Вызывать строения можно только возле пилонов.,,False,,,
,Couldn't reach the building site.,Не удалось достичь зоны постройки.,,False,,,
,You can't land there.,Здесь нельзя приземлить строение.,,False,,,
,Not enough energy.,Недостаточно энергии.,,False,,,
,Nothing to harvest. Find a Mine or a Vespene Geyser.,Нечего добывать. Укажите месторождение или веспеновый гейзер.,,False,,,
,"Nothing to harvest. Find a Mine, or build a Refinery at a Vespene Geyser.",Нечего добывать. Укажите месторождение или постройте перерабатывающий завод на веспеновом гейзере.,,False,,,
,"Nothing to harvest. Find a Mine, or build an Assimilator at a Vespene Geyser.",Нечего добывать. Укажите месторождение или постройте ассимилятор на веспеновом гейзере.,,False,,,
,Must target severely damaged Terran Command Center.,Целью может быть только сильно поврежденный командный центр терранов.,,False,,,
,Unit's waypoint list is full.,Максимальное количество точек пути достигнуто.,,False,,,
,Unable to add order.,Нельзя добавить приказ.,,False,,,
,"Running low on orders, your last order was not processed.",Приказы кончаются. Ваш последний приказ не был принят.,,False,,,
,Not enough life remaining.,Осталось слишком мало здоровья.,,False,,,
,Vespene Geyser depleted.,Веспеновый гейзер истощен.,,False,,,
,Invalid target.,Неверная цель.,,False,,,
,Must target units.,Целью могут быть только боевые единицы.,,False,,,
,Unable to attack target.,Эту цель нельзя атаковать.,,False,,,
,Must target mechanical units.,Целью могут быть только механические боевые единицы.,,False,,,
,Unable to target structure.,Строение не может быть целью.,,False,,,
,Must target ground.,Цель должна быть на земле.,,False,,,
,Argus Talisman,Талисман Аргуса,,False,,,
,Pause,Пауза,,False,,,
,Hellfire Missile Pack,Ракеты «Адское пламя»,,False,,,
,Arclite Cannon,Пушка «Радуга»,,False,,,
,Fusion Cutter,Терморезак,,False,,,
,Gemini Missiles,Ракеты «Близнецы»,,False,,,
,Burst Lasers,Импульсные лазеры,,False,,,
,ATS Laser Battery,Лазерная батарея «воздух-земля»,,False,,,
,Terran Flag Beacon,Маяк флага,,False,,,
,Protoss Flag Beacon,Маяк флага,,False,,,
,Power Generator,Генератор,,False,,,
,Overmind Cocoon,Кокон Сверхразума,,False,,,
,Dark Swarm,Темный рой,,False,,,
,Floor Missile Trap,Ракетная ловушка,,False,,,
,Fragmentation Grenade,Осколочные гранаты,,False,,,
,Toxic Spores,Токсичные споры,,False,,,
,Spines,Шипы,,False,,,
,Acid Spray,Брызги кислоты,,False,,,
,Terran Marine,Морпех,,False,,,
,Terran Ghost,Призрак,,False,,,
,Terran Vulture,«Стервятник»,,False,,,
,Terran Goliath,«Голиаф»,,False,,,
,Zerg Overlord,Надзиратель,,False,,,
,Zerg Ultralisk Cavern,Пещера ультралисков,,False,,,
,Zerg Overmind,Сверхразум,,False,,,
,Protoss Marker,Маркер,,False,,,
,Goliath Turret,Турель «Голиафа»,,False,,,
,Terran Siege Tank,Осадный танк,,False,,,
,Tank Turret,Турель танка,,False,,,
,Terran SCV,КСМ,,False,,,
,Terran Wraith,«Мираж»,,False,,,
,Terran Science Vessel,Научное судно,,False,,,
,Gui Montag,Ги Монтаг,,False,,,
,Terran Dropship,Десантный корабль,,False,,,
,Terran Battlecruiser,Крейсер,,False,,,
,Terran Civilian,Персонал,,False,,,
,Sarah Kerrigan,Сара Керриган,,False,,,
,Alan Schezar,Алан Шезар,,False,,,
,Alan Turret,Турель Алана,,False,,,
,Jim Raynor,Джим Рейнор,,False,,,
,Tom Kazansky,Том Казански,,False,,,
,Magellan,«Магеллан»,,False,,,
,Edmund Duke,Эдмунд Дюк,,False,,,
,Arcturus Mengsk,Арктур Менгск,,False,,,
,Hyperion,«Гиперион»,,False,,,
,Norad II,«Норад II»,,False,,,
,Terran Firebat,Огнеметчик,,False,,,
,Scanner Sweep,Спутниковое сканирование,,False,,,
,Terran Medic,Медик,,False,,,
,Zerg Larva,Личинка,,False,,,
,Zerg Egg,Яйцо,,False,,,
,Zerg Zergling,Зерглинг,,False,,,
,Heal,Лечение,,False,,,
,Zerg Broodling,Симбионт,,False,,,
,Zerg Drone,Рабочий,,False,,,
,Zerg Mutalisk,Муталиск,,False,,,
,Zerg Guardian,Страж,,False,,,
,Zerg Queen,Королева,,False,,,
,Zerg Defiler,Осквернитель,,False,,,
,Zerg Scourge,Слепень,,False,,,
,Torrasque,Торраск,,False,,,
,Matriarch,Матриарх,,False,,,
,Infested Kerrigan,Зараженная Керриган,,False,,,
,Unclean One,Нечистый,,False,,,
,Hunter Killer,Охотник-убийца,,False,,,
,Devouring One,Пожиратель,,False,,,
,Kukulza,Кукулза,,False,,,
,Yggdrasill,Иггдрасиль,,False,,,
,Terran Valkyrie,«Валькирия»,,False,,,
,Protoss Corsair,«Корсар»,,False,,,
,Protoss Dark Templar,Темный тамплиер,,False,,,
,Zerg Devourer,Пожиратель,,False,,,
,Protoss Dark Archon,Темный архонт,,False,,,
,Protoss Probe,Зонд,,False,,,
,Protoss Zealot,Зилот,,False,,,
,Protoss Dragoon,Драгун,,False,,,
,Protoss High Templar,Высший тамплиер,,False,,,
,Protoss Archon,Архонт,,False,,,
,Protoss Shuttle,Челнок,,False,,,
,Protoss Scout,Разведчик,,False,,,
,Junk Yard Dog,Junk Yard Dog,,False,,,
,View Players,Список игроков,,False,,,
,Speed Up,Быстрее,,False,,,
,Play,Воспроизведение,,False,,,
,Slow Down,Медленнее,,False,,,
,Replay Progress,Прогресс повтора,,False,,,
,Paused,Пауза,,False,,,
,Unlimited,Неограниченно,,False,,,
,Protoss Arbiter,«Арбитр»,,False,,,
,Protoss Carrier,Авианосец,,False,,,
,Protoss Interceptor,Перехватчик,,False,,,
,Dark Templar,Темный тамплиер,,False,,,
,Zeratul,Зератул,,False,,,
,Tassadar/Zeratul,Тассадар/Зератул,,False,,,
,Fenix,Феникс,,False,,,
,Tassadar,Тассадар,,False,,,
,Mojo,Моджо,,False,,,
,Warbringer,Вестник Войны,,False,,,
,Gantrithor,«Гантритор»,,False,,,
,Protoss Reaver,Опустошитель,,False,,,
,Protoss Observer,Наблюдатель,,False,,,
,Protoss Scarab,Скарабей,,False,,,
,Danimoth,Данимот,,False,,,
,Aldaris,Алдарис,,False,,,
,Artanis,Артанис,,False,,,
,Rhynadon,Ринадон,,False,,,
,Kakaru,Какуру,,False,,,
,Ragnasaur,Рагназавр,,False,,,
,Ursadon,Урсадон,,False,,,
,Zerg Lurker Egg,Яйцо скрытня,,False,,,
,Raszagal,Рашжагал,,False,,,
,Samir Duran,Самир Дюран,,False,,,
,Alexei Stukov,Алексей Стуков,,False,,,
,Disruption Field,Дестабилизирующее поле,,False,,,
,Terran Command Center,Командный центр,,False,,,
,Terran Comsat Station,Станция слежения,,False,,,
,Terran Nuclear Silo,Ракетная шахта,,False,,,
,Terran Supply Depot,Хранилище,,False,,,
,Terran Refinery,Перерабатывающий завод,,False,,,
,Terran Barracks,Казармы,,False,,,
,Terran Academy,Академия,,False,,,
,Terran Factory,Завод,,False,,,
,Terran Starport,Космопорт,,False,,,
,Terran Control Tower,Диспетчерская вышка,,False,,,
,Terran Science Facility,Лаборатория,,False,,,
,Terran Covert Ops,Штаб спецопераций,,False,,,
,Terran Physics Lab,Физическая лаборатория,,False,,,
,Unused Terran Bldg,Неиспользуемое здание терранов,,False,,,
,Terran Machine Shop,Мастерская,,False,,,
,Terran Engineering Bay,Инженерный комплекс,,False,,,
,Terran Armory,Арсенал,,False,,,
,Terran Missile Turret,Ракетная турель,,False,,,
,Terran Bunker,Бункер,,False,,,
,Ion Cannon,Ионная пушка,,False,,,
,Uraj Crystal,Кристалл Урадж,,False,,,
,Khalis Crystal,Кристалл Кхалис,,False,,,
,Infested Command Center,Зараженный командный центр,,False,,,
,Zerg Hatchery,Инкубатор,,False,,,
,Zerg Lair,Логово,,False,,,
,Zerg Hive,Улей,,False,,,
,Zerg Nydus Canal,Канал нидуса,,False,,,
,Zerg Hydralisk Den,Пещера гидралисков,,False,,,
,Zerg Defiler Mound,Логово осквернителей,,False,,,
,Zerg Greater Spire,Шпиль величия,,False,,,
,Zerg Queen's Nest,Гнездо королев,,False,,,
,Floor Hatch (UNUSED),Напольный люк,,False,,,
,Left Upper Level Door,Левая дверь (верхний уровень),,False,,,
,Right Upper Level Door,Правая дверь (верхний уровень),,False,,,
,Left Pit Door,Левая дверь (яма),,False,,,
,Right Pit Door,Правая дверь (яма),,False,,,
,Floor Gun Trap,Пулеметная ловушка,,False,,,
,Left Wall Flame Trap,Огнеметная ловушка,,False,,,
,Right Wall Missile Trap,Ракетная ловушка,,False,,,
,Right Wall Flame Trap,Огнеметная ловушка,,False,,,
,Start Location,Стартовая позиция,,False,,,
,Young Chrysalis,Растущая хризалида,,False,,,
,Psi Emitter,Пси-излучатель,,False,,,
,Data Disc,Хранилище данных,,False,,,
,Khaydarin Crystal,Кайдариновый кристалл,,False,,,
,Mineral Chunk,Скопление минералов,,False,,,
,Vespene Orb,Сфера веспена,,False,,,
,Vespene Sac,Пузырь с веспеном,,False,,,
,Zerg Evolution Chamber,Эволюционная камера,,False,,,
,Zerg Spire,Шпиль,,False,,,
,Zerg Spawning Pool,Омут рождения,,False,,,
,Zerg Creep Colony,Колония слизи,,False,,,
,Zerg Spore Colony,Споровая колония,,False,,,
,Unused Zerg Bldg,Неиспользуемое строение зергов,,False,,,
,Zerg Sunken Colony,Подземная колония,,False,,,
,Vespene Tank,Бак с веспеном,,False,,,
,Gauss Rifle,Винтовка Гаусса,,False,,,
,C-10 Canister Rifle,Карабин C-10,,False,,,
,Twin Autocannons,Спаренные автопушки,,False,,,
,ATA Laser Battery,Лазерная батарея «воздух-воздух»,,False,,,
,Flame Thrower,Огнемет,,False,,,
,Arclite Shock Cannon,Осадная пушка «Радуга»,,False,,,
,Longbolt Missile,Дальнобойные ракеты,,False,,,
,Nuclear Strike,Ядерный удар,,False,,,
,Needle Spines,Костяные иглы,,False,,,
,Kaiser Blades,Костяные клинки,,False,,,
,Seeker Spores,Наводящиеся споры,,False,,,
,Dragoon Requires:\n   Cybernetics Core,Драгун\n   Требуется кибернетическое ядро,,False,,,
,Must target damaged mechanical units or damaged complete buildings.,Целью могут быть только поврежденные механические единицы или строения.,,False,,,
,Must target non-robotic ground units.,Целью не могут быть роботизированные и летающие войска.,,False,,,
,Can only pick up your own transportable units.,Можно загружать только свои транспортабельные боевые единицы.,,False,,,
,Not enough room for unit.,Недостаточно свободного места.,,False,,,
,Must gather from a Mineral Field or Vespene Geyser.,Можно добывать только из месторождений и веспеновых гейзеров.,,False,,,
,Build a Refinery there first.,Сначала нужно построить перерабатывающий завод.,,False,,,
,Build an Assimilator there first.,Сначала нужно вызвать ассимилятор.,,False,,,
,Must gather gases from your own geyser.,Нельзя добывать газ из чужого гейзера.,,False,,,
,Units in stasis can't be targeted.,Нельзя выбрать целью боевую единицу в стазисе.,,False,,,
,Zerg Cerebrate,Церебрал,,False,,,
,Zerg Cerebrate Daggoth,Церебрал Даггот,,False,,,
,Unused Zerg Bldg 5,Неиспользуемое строение зергов 5,,False,,,
,Protoss Nexus,Нексус,,False,,,
,Protoss Robotics Facility,Завод робототехники,,False,,,
,Protoss Pylon,Пилон,,False,,,
,Protoss Assimilator,Ассимилятор,,False,,,
,Protoss Unused,Protoss Unused,,False,,,
,Protoss Observatory,Обсерватория,,False,,,
,Protoss Gateway,Врата,,False,,,
,Must target non-hovering ground units.,Целью не могут быть парящие над землей боевые единицы.,,False,,,
,Must target passable terrain.,Целью не может быть непроходимый участок.,,False,,,
,Die,Die,,False,,,
,Fizzle,Fizzle,,False,,,
,Guard,Guard,,False,,,
,Player Guard,Player Guard,,False,,,
,Turret Guard,Turret Guard,,False,,,
,Bunker Guard,Bunker Guard,,False,,,
,Ignore,Ignore,,False,,,
,Carrier Ignore,Carrier Ignore,,False,,,
,Carrier Stop,Carrier Stop,,False,,,
,Reaver Stop,Reaver Stop,,False,,,
,Attack Unit,Attack Unit,,False,,,
,Attack Fixed Range,Attack Fixed Range,,False,,,
,Move Attack Unit,Move Attack Unit,,False,,,
,Attack Tile,Attack Tile,,False,,,
,Hover,Hover,,False,,,
,Attack Move,Attack Move,,False,,,
,Atk Move EP,Atk Move EP,,False,,,
,Harass Move,Harass Move,,False,,,
,AI Patrol,AI Patrol,,False,,,
,Tower,Tower,,False,,,
,Vulture Mine,Vulture Mine,,False,,,
,Carrier Attack,Carrier Attack,,False,,,
,Carrier Attack Move,Carrier Attack Move,,False,,,
,Stay In Range,Stay In Range,,False,,,
,Turret Attack,Turret Attack,,False,,,
,Nothing,Nothing,,False,,,
,Drone Start Build,Drone Start Build,,False,,,
,Drone Build,Drone Build,,False,,,
,Drone Attack Unit,Drone Attack Unit,,False,,,
,Protoss Citadel of Adun,Цитадель Адуна,,False,,,
,Protoss Cybernetics Core,Кибернетическое ядро,,False,,,
,Protoss Templar Archives,Архивы тамплиеров,,False,,,
,Protoss Forge,Оружейная,,False,,,
,Protoss Stargate,Звездные врата,,False,,,
,Stasis Cell/Prison,Стазисная камера,,False,,,
,Protoss Fleet Beacon,Маяк флотилии,,False,,,
,Protoss Arbiter Tribunal,Трибунал арбитров,,False,,,
,Infest Mine,Infest Mine,,False,,,
,Build,Build,,False,,,
,Build Protoss,Build Protoss,,False,,,
,Construct Building,Construct Building,,False,,,
,Place Add-On,Place Add-On,,False,,,
,Morph,Morph,,False,,,
,Zerg Building Morph,Zerg Building Morph,,False,,,
,Build Self,Build Self,,False,,,
,Zerg Build Self,Zerg Build Self,,False,,,
,Enter Nydus Canal,Enter Nydus Canal,,False,,,
,Acid Spore,Кислотные споры,,False,,,
,Protoss Build Self,Protoss Build Self,,False,,,
,Follow,Follow,,False,,,
,Carrier,Carrier,,False,,,
,Carrier Fight,Carrier Fight,,False,,,
,Reaver,Reaver,,False,,,
,Reaver Attack,Reaver Attack,,False,,,
,Reaver Fight,Reaver Fight,,False,,,
,Reaver Hold,Reaver Hold,,False,,,
,Train Fighter,Train Fighter,,False,,,
,Strafe Unit,Strafe Unit,,False,,,
,Claws,Когти,,False,,,
,Upgrade Scarab Damage,Увеличить урон скарабеев,,False,,,
,Drone Land,Drone Land,,False,,,
,Building Land,Building Land,,False,,,
,Drone Lift Off,Drone Lift Off,,False,,,
,Lift Off,Lift Off,,False,,,
,Upgrade,Upgrade,,False,,,
,Spawning Larva,Spawning Larva,,False,,,
,Harvest,Harvest,,False,,,
,Harvest Gas,Harvest Gas,,False,,,
,Khaydarin Crystal Formation,Кайдариновые кристаллы,,False,,,
,Protoss Temple,Храм,,False,,,
,Xel'Naga Temple,Храм зел-нага,,False,,,
,Mineral Field,Месторождение минералов,,False,,,
,Cave,Пещера,,False,,,
,Cave-in,Пещера (вход),,False,,,
,Cantina,Кают-компания,,False,,,
,Mining Platform,Шахтерская платформа,,False,,,
,Independent Command Center,Нейтральный командный центр,,False,,,
,Return Gas,Return Gas,,False,,,
,Harvest Minerals,Harvest Minerals,,False,,,
,Return Minerals,Return Minerals,,False,,,
,Enter Transport,Enter Transport,,False,,,
,Pick Up,Pick Up,,False,,,
,Powerup,Powerup,,False,,,
,Watch Target,Watch Target,,False,,,
,Spread Creep,Spread Creep,,False,,,
,Warping Archon,Warping Archon,,False,,,
,Completing Archon Summon,Completing Archon Summon,,False,,,
,Unload,Unload,,False,,,
,Move Unload,Move Unload,,False,,,
,Fire Yamato Gun,Fire Yamato Gun,,False,,,
,Magna Pulse,Magna Pulse,,False,,,
,Burrowed,Burrowed,,False,,,
,Cast Parasite,Cast Parasite,,False,,,
,Summon Broodlings,Summon Broodlings,,False,,,
,EMP Shockwave,EMP Shockwave,,False,,,
,Nuke Wait,Nuke Wait,,False,,,
,Nuke Train,Nuke Train,,False,,,
,Nuke Launch,Nuke Launch,,False,,,
,Nuke Paint,Nuke Paint,,False,,,
,Nuke Unit,Nuke Unit,,False,,,
,Nuke Ground,Nuke Ground,,False,,,
,Nuke Track,Nuke Track,,False,,,
,Vulture Spider Mine,Паучья мина «Стервятника»,,False,,,
,Nuclear Missile,Ядерная ракета,,False,,,
,Initializing Arbiter,Initializing Arbiter,,False,,,
,Cloaking nearby units,Cloaking nearby units,,False,,,
,Place Mine,Place Mine,,False,,,
,Right Click Action,Right Click Action,,False,,,
,Left Click Action,Left Click Action,,False,,,
,Sap Unit,Sap Unit,,False,,,
,Ruins,Развалины,,False,,,
,Kyadarin Crystal Formation,Кайдариновые кристаллы,,False,,,
,Vespene Geyser,Веспеновый гейзер,,False,,,
,Warp Gate,Врата искривления,,False,,,
,Psi Disrupter,Пси-аннулятор,,False,,,
,Zerg Marker,Маркер зергов,,False,,,
,Terran Marker,Маркер терранов,,False,,,
,Zerg Beacon,Маяк,,False,,,
,Sap Location,Sap Location,,False,,,
,Teleport,Teleport,,False,,,
,Teleport to Location,Teleport to Location,,False,,,
,Place Scanner,Place Scanner,,False,,,
,Scanner,Scanner,,False,,,
,Computer AI,Computer AI,,False,,,
,Guard Post,Guard Post,,False,,,
,Rescue Passive,Rescue Passive,,False,,,
,Neutral,Neutral,,False,,,
,Computer Return,Computer Return,,False,,,
,Initing Psi Provider,Initing Psi Provider,,False,,,
,Self Destructing,Self Destructing,,False,,,
,Decaying creep,Decaying creep,,False,,,
,Shield Battery,Shield Battery,,False,,,
,Rally Point,Rally Point,,False,,,
,CTF COP Init,CTF COP Init,,False,,,
,CTF COP,CTF COP,,False,,,
,Critter,Critter,,False,,,
,Hidden Gun,Hidden Gun,,False,,,
,Open Door,Open Door,,False,,,
,Close Door,Close Door,,False,,,
,Hide Trap,Hide Trap,,False,,,
,Reveal Trap,Reveal Trap,,False,,,
,Enable Doodad,Enable Doodad,,False,,,
,Disable Doodad,Disable Doodad,,False,,,
,Warp In,Warp In,,False,,,
,Fatal,Fatal,,False,,,
,Duke Turret,Турель Дюка,,False,,,
,Nuclear launch detected.,Обнаружен запуск ядерной ракеты.,,False,,,
,Structure,строение,,False,,,
,Cliff,Уступ,,False,,,
,Grass,Трава,,False,,,
,Glave Wurm,Чакрум,,False,,,
,Venom,Яд,,False,,,
,Suicide,Самоубийство,,False,,,
,Subterranean Tentacle,Подземное щупальце,,False,,,
,Particle Beam,Нейтронный луч,,False,,,
,Psi Blades,Пси-клинки,,False,,,
,Warp Blades,Клинки искривления,,False,,,
,Phase Disruptor,Фазовый расщепитель,,False,,,
,Psi Assault,Псионный удар,,False,,,
,Dirt,Земля,,False,,,
,Water,Вода,,False,,,
,Jungle,Джунгли,,False,,,
,Platform,Платформа,,False,,,
,Floor,Пол,,False,,,
,Wall,Стена,,False,,,
,Tar,Смола,,False,,,
,Snow,Снег,,False,,,
,Ice,Лед,,False,,,
,Outpost,Outpost,,False,,,
,Mud,Грязь,,False,,,
,Halo Rockets,Ракеты «Светоч»,,False,,,
,Corrosive Acid,Едкая кислота,,False,,,
,Subterranean Spines,Подземные шипы,,False,,,
,Neutron Flare,Нейтронная вспышка,,False,,,
,Mind Control,Подчинение,,False,,,
,Healing,Лечение,,False,,,
,Optical Flare,Световая граната,,False,,,
,Research Restoration\n(Medic ability),Исследовать «Восстановление»\n(способность медиков),,False,,,
,Restoration,Restoration,,False,,,
,Zerg Hydralisk,Гидралиск,,False,,,
,Zerg Ultralisk,Ультралиск,,False,,,
,Research Optical Flare\n(Medic ability),Исследовать «Световую гранату»\n(способность медиков),,False,,,
,Restoration:\n   Research at Academy,Восстановление\n   Исследуется в академии,,False,,,
,Optical Flare:\n   Research at Academy,Световая граната\n   Исследуется в академии,,False,,,
,Lurker Aspect,Мутировать в скрытня,,False,,,
,Evolve Lurker Aspect\n(Hydralisk ability),Развить мутацию в скрытня\n(способность гидралисков),,False,,,
,Lurker Aspect:\n   Requires Lair,Мутация в скрытня\n   Требуется логово,,False,,,
,Anti-matter Missiles,Ракеты из антиматерии,,False,,,
,Phase Disruptor Cannon,Фазовый расщепитель,,False,,,
,Pulse Cannon,Импульсная пушка,,False,,,
,STS Photon Cannon,Фотонная пушка (земля-земля),,False,,,
,STA Photon Cannon,Фотонная пушка (земля-воздух),,False,,,
,Missiles,Ракеты,,False,,,
,Laser Battery,Батарея лазеров,,False,,,
,Tormentor Missiles,Ракеты «Истязатель»,,False,,,
,Raider Gun,Пушка рейдера,,False,,,
,Disruption Web,Дестабилизирующая сеть,,False,,,
,Dark Archon Meld,Перерождение в темного архонта,,False,,,
,Maelstrom,Темный вихрь,,False,,,
,Develop Disruption Web\n(Corsair ability),Разработать «Дестабилизирующую сеть»\n(способность «Корсаров»),,False,,,
,Develop Mind Control\n(Dark Archon ability),Разработать «Подчинение»\n(способность темных архонтов),,False,,,
,Develop Feedback\n(Dark Archon ability),Разработать «Противодействие»\n(способность темных архонтов),,False,,,
,Develop Maelstrom\n(Dark Archon ability),Разработать «Темный вихрь»\n(способность темных архонтов),,False,,,
,Disruption Web:\n   Develop at Fleet Beacon,Дестабилизирующая сеть\n   Разрабатывается в маяке флотилии,,False,,,
,Mind Control:\n   Research at Templar Archives,Подчинение\n   Исследуется в архивах тамплиеров,,False,,,
,Dark Archon Meld:\n   Research at Templar Archives,Перерождение в темного архонта\n   Исследуется в архивах тамплиеров,,False,,,
,Dark Archon Warp:\n   Select 2 or more Dark Templars,Перерождение в темного архонта\n   Выберите 2 или более темных тамплиеров,,False,,,
,Feedback:\n   No requirement,Противодействие\n   Нет требований,,False,,,
,Maelstrom:\n   Develop at Templar Archives,Темный вихрь\n   Разрабатывается в архивах тамплиеров,,False,,,
,Infested Terran,Зараженный терран,,False,,,
,Caduceus Reactor,Реактор «Кадуцей»,,False,,,
,Charon Booster,Ускорители «Харон»,,False,,,
,Anabolic Synthesis,Анаболический синтез,,False,,,
,Chitinous Plating,Хитиновый панцирь,,False,,,
,Argus Jewel,Кристалл Аргуса,,False,,,
,Bombs,Бомбы,,False,,,
