location,source,target,id,fuzzy,context,translator_comments,developer_comments
,StarCraft: Remastered,스타크래프트: 리마스터,,False,,,
,StarCraft,스타크래프트,,False,,,
,Blizzard,블리자드,,False,,,
,"Blizzard Entertainment, Inc.",블리자드 엔터테인먼트 주식회사,,False,,,
,ShieldBattery,ShieldBattery,,False,,,
,Leagues,리그,,False,,,
,Lobbies,로비,,False,,,
,Lobby,로비,,False,,,
,Turn rate,턴 속도,,False,,,
,1v1,1:1,,False,,,
,2v2,2:2,,False,,,
,Game type,게임 방식,,False,,,
,Map,맵,,False,,,
,Tileset,타일셋,,False,,,
,Race,종족,,False,,,
,Match,경기,,False,,,
,Replays,리플레이,,False,,,
,Gameplay,게임플레이,,False,,,
,1v1 Fastest,1:1 빨무,,False,,,
,Matchmaking,매치메이킹,,False,,,
,Points,점수,,False,,,
,Rating,레이팅,,False,,,
,3v3,3:3,,False,,,
,Whisper,귓속말,,False,,,
,Notification,알림,,False,,,
,Notifications,알림,,False,,,
,StarCraft,StarCraft,,False,For instructional text,,
,Achievement,업적,,False,,,
,Achievements,업적,,False,,,
,Rank,순위,,False,,,
,Seasons,시즌,,False,,,
,Season,시즌,,False,,,
,Ranked,랭크전,,False,,,
,Maps,맵,,False,,,
,Vespene Geyser,베스핀 가이져,,False,,,
,Left Upper Level Door,왼쪽 상층 문,,False,,,
,Terran Siege Tank,테란 시즈 탱크,,False,,,
,Tank Turret,탱크 터렛,,False,,,
,Terran SCV,테란 SCV,,False,,,
,Right Pit Door,오른쪽 구덩이 문,,False,,,
,Right Wall Flame Trap,오른쪽 벽 화염 트랩,,False,,,
,Data Disc,데이터 디스크,,False,,,
,Nuclear Strike,뉴클리어 스트라이크,,False,,,
,EMP Shockwave,EMP 쇼크웨이브,,False,,,
,Dual Photon Blasters,이중 양자포,,False,,,
,Spider Mines,스파이더 마인,,False,,,
,Personnel Cloaking,퍼스널 클로킹,,False,,,
,Research Irradiate\n(Science Vessel ability),이래디에이트 연구\n(사이언스 베슬 능력),,False,,,
,Tank Mode,탱크 모드,,False,,,
,Plague,플레이그,,False,,,
,Evolve Plague\n(Defiler ability),플레이그 진화\n(디파일러 능력),,False,,,
,Infest:\n   Evolve at Queen's Nest,인페스트:\n   퀸스 네스트에서 진화,,False,,,
,Stasis Field,정지장,,False,,,
,Terran Wraith,테란 레이스,,False,,,
,Terran Science Vessel,테란 사이언스 베슬,,False,,,
,Gui Montag,구이 몬타그,,False,,,
,Terran Dropship,테란 드롭십,,False,,,
,Zerg Flyer Carapace,저그 플라이어 캐러페이스,,False,,,
,Gamete Meiosis,게미트 마이오시스,,False,,,
,Terran Battlecruiser,테란 배틀크루저,,False,,,
,Vulture Spider Mine,벌쳐 스파이더 마인,,False,,,
,Terran Civilian,테란 민간인,,False,,,
,Sarah Kerrigan,사라 케리건,,False,,,
,Upgrade Infantry Weapons,보병 공격력 업그레이드,,False,,,
,Alan Schezar,앨런 세자르,,False,,,
,Jim Raynor,짐 레이너,,False,,,
,Tom Kazansky,톰 카잔스키,,False,,,
,Magellan,마젤란,,False,,,
,Upgrade Flyer Attacks,비행체 공격 업그레이드,,False,,,
,Duke Turret,듀크 터렛,,False,,,
,Arcturus Mengsk,아크튜러스 맹스크,,False,,,
,Norad II,노라드 II,,False,,,
,Terran Firebat,테란 파이어뱃,,False,,,
,Scanner Sweep,스캐너 스윕,,False,,,
,Terran Medic,테란 메딕,,False,,,
,Zerg Larva,저그 라바,,False,,,
,Zerg Zergling,저그 저글링,,False,,,
,Zerg Hydralisk,저그 히드라리스크,,False,,,
,Zerg Ultralisk,저그 울트라리스크,,False,,,
,Zerg Overlord,저그 오버로드,,False,,,
,Zerg Mutalisk,저그 뮤탈리스크,,False,,,
,Zerg Guardian,저그 가디언,,False,,,
,Zerg Queen,저그 퀸,,False,,,
,Zerg Defiler,저그 디파일러,,False,,,
,Torrasque,토라스크,,False,,,
,Matriarch,대모,,False,,,
,Infested Kerrigan,인페스티드 케리건,,False,,,
,Unclean One,불결한 존재,,False,,,
,Hunter Killer,헌터 킬러,,False,,,
,Kukulza,쿠쿨자,,False,,,
,Yggdrasill,위그드라실,,False,,,
,Terran Valkyrie,테란 발키리,,False,,,
,Protoss Corsair,프로토스 커세어,,False,,,
,Protoss Dark Templar,프로토스 다크 템플러,,False,,,
,Zerg Devourer,저그 디바우러,,False,,,
,Protoss Dark Archon,프로토스 다크 아콘,,False,,,
,Evolve Muscular Augments\n(Faster Hydralisk movement),머스큘러 아규먼츠\n(히드라리스크 이동 속도 증가),,False,,,
,Protoss Zealot,프로토스 질럿,,False,,,
,Protoss Dragoon,프로토스 드라군,,False,,,
,Protoss High Templar,프로토스 하이 템플러,,False,,,
,Protoss Archon,프로토스 아콘,,False,,,
,Protoss Shuttle,프로토스 셔틀,,False,,,
,Protoss Scout,프로토스 스카우트,,False,,,
,Protoss Arbiter,프로토스 아비터,,False,,,
,Protoss Carrier,프로토스 캐리어,,False,,,
,Dark Templar,다크 템플러,,False,,,
,Zeratul,제라툴,,False,,,
,Tassadar/Zeratul,태사다르/제라툴,,False,,,
,Fenix,피닉스,,False,,,
,Tassadar,태사다르,,False,,,
,Mojo,모조,,False,,,
,Gantrithor,간트리서,,False,,,
,Protoss Reaver,프로토스 리버,,False,,,
,Protoss Observer,프로토스 옵저버,,False,,,
,Aldaris,알다리스,,False,,,
,Artanis,아르타니스,,False,,,
,Rhynadon,라이나돈,,False,,,
,Bengalaas,벤갈라스,,False,,,
,Develop Gravitic Booster\n(Faster Observer movement),그래비틱 부스터 개발\n(옵저버 이동 속도 증가),,False,,,
,Unused,미사용,,False,,,
,Scantid,스캔티드,,False,,,
,Kakaru,카카루,,False,,,
,Ragnasaur,라그나사우르,,False,,,
,Ursadon,우르사돈,,False,,,
,Raszagal,라자갈,,False,,,
,Samir Duran,사미르 듀란,,False,,,
,Alexei Stukov,알렉세이 스투코프,,False,,,
,Map Revealer,지도 탐색기,,False,,,
,Gerard DuGalle,제라드 듀갈,,False,,,
,Zerg Lurker,저그 러커,,False,,,
,Infested Duran,인페스티드 듀란,,False,,,
,Disruption Field,디스럽션 필드,,False,,,
,Terran Command Center,테란 커맨드 센터,,False,,,
,Terran Comsat Station,테란 콤샛 스테이션,,False,,,
,Terran Nuclear Silo,테란 뉴클리어 사일로,,False,,,
,Terran Supply Depot,테란 서플라이 디포,,False,,,
,Terran Refinery,테란 리파이너리,,False,,,
,Terran Academy,테란 아카데미,,False,,,
,Terran Factory,테란 팩토리,,False,,,
,Terran Starport,테란 스타포트,,False,,,
,Terran Control Tower,테란 컨트롤 타워,,False,,,
,Terran Covert Ops,테란 코버트 옵스,,False,,,
,Terran Physics Lab,테란 피직스 랩,,False,,,
,Unused Terran Bldg,미사용 테란 건물,,False,,,
,Terran Machine Shop,테란 머신 샵,,False,,,
,Terran Engineering Bay,테란 엔지니어링 베이,,False,,,
,Terran Armory,테란 아머리,,False,,,
